,label,nbPixels,meanB0,varB0,mean__012019,valid_012019,std___012019,nan___012019,NDVI_012019,mean__022019,valid_022019,std___022019,nan___022019,NDVI_022019,mean__032019,valid_032019,std___032019,nan___032019,NDVI_032019,mean__042019,valid_042019,std___042019,nan___042019,NDVI_042019,valid_052019,nan___052019,mean__052019,std___052019,NDVI_052019,mean__062019,valid_062019,std___062019,nan___062019,NDVI_062019,valid_072019,nan___072019,mean__072019,std___072019,NDVI_072019,valid_082019,nan___082019,mean__082019,std___082019,NDVI_082019,mean__092019,valid_092019,std___092019,nan___092019,NDVI_092019,mean__102019,valid_102019,std___102019,nan___102019,NDVI_102019,mean__112019,valid_112019,std___112019,nan___112019,NDVI_112019,mean__122019,valid_122019,std___122019,nan___122019,NDVI_122019,mean__012020,valid_012020,std___012020,nan___012020,NDVI_012020,mean__022020,valid_022020,std___022020,nan___022020,NDVI_022020,mean__032020,valid_032020,std___032020,nan___032020,NDVI_032020,mean__042020,valid_042020,std___042020,nan___042020,NDVI_042020,mean__052020,valid_052020,std___052020,nan___052020,NDVI_052020,mean__062020,valid_062020,std___062020,nan___062020,NDVI_062020,mean__072020,valid_072020,std___072020,nan___072020,NDVI_072020,mean__082020,valid_082020,std___082020,nan___082020,NDVI_082020,mean__092020,valid_092020,std___092020,nan___092020,NDVI_092020,mean__102020,valid_102020,std___102020,nan___102020,NDVI_102020,mean__112020,valid_112020,std___112020,nan___112020,NDVI_112020,mean__122020,valid_122020,std___122020,nan___122020,NDVI_122020,mean__012021,valid_012021,std___012021,nan___012021,NDVI_012021,mean__022021,valid_022021,std___022021,nan___022021,NDVI_022021,mean__032021,valid_032021,std___032021,nan___032021,NDVI_032021,mean__042021,valid_042021,std___042021,nan___042021,NDVI_042021,mean__052021,valid_052021,std___052021,nan___052021,NDVI_052021,mean__062021,valid_062021,std___062021,nan___062021,NDVI_062021,mean__072021,valid_072021,std___072021,nan___072021,NDVI_072021,mean__082021,valid_082021,std___082021,nan___082021,NDVI_082021,mean__092021,valid_092021,std___092021,nan___092021,NDVI_092021,mean__102021,valid_102021,std___102021,nan___102021,NDVI_102021,mean__112021,valid_112021,std___112021,nan___112021,NDVI_112021,mean__122021,valid_122021,std___122021,nan___122021,NDVI_122021,mean__012022,valid_012022,std___012022,nan___012022,NDVI_012022,mean__022022,valid_022022,std___022022,nan___022022,NDVI_022022,mean__032022,valid_032022,std___032022,nan___032022,NDVI_032022
0,142,194,0.281380951404572,0.001297718496062,0.2338,194,0.0285,0,23.3834,0.2383,194,0.0365,0,23.8297,0.2519,194,0.0401,0,25.1906,0.3145,194,0.0541,0,31.4463,0,194,,,,0.5901,194,0.0433,0,59.0053,0,194,,,,0,194,,,,0.4746,194,0.0508,0,47.4637,0.6179,194,0.0579,0,61.7856,0.5782,194,0.0492,0,57.8194,0.4806,194,0.0517,0,48.057,0.2479,194,0.0234,0,24.7868,0.1879,194,0.0174,0,18.7926,0.2331,194,0.0384,0,23.3143,0.4147,194,0.049,0,41.4725,0.3624,2,0.0243,192,36.2418,0.7167,194,0.0629,0,71.6692,0.6183,194,0.0739,0,61.8337,0.5657,116,0.1171,78,56.5741,0.6813,194,0.0852,0,68.1274,0.7131,194,0.0616,0,71.313,0.4727,194,0.0614,0,47.2684,0.2622,194,0.0396,0,26.2174,0.225,194,0.038,0,22.5022,0.1771,194,0.0173,0,17.709,0.2366,194,0.0232,0,23.6595,0.3342,192,0.0382,2,33.4231,0.6574,194,0.0579,0,65.7392,0.6292,194,0.0608,0,62.9175,0.6914,194,0.0581,0,69.1417,0.6067,194,0.0643,0,60.6687,0.4016,11,0.0232,183,40.1605,0.5809,194,0.0525,0,58.092,0.434,194,0.06,0,43.3972,0.2917,194,0.0456,0,29.1678,0.222,194,0.0255,0,22.1977,0.1559,194,0.0186,0,15.5936,0.2524,194,0.0217,0,25.2387
1,691,203,0.396434605121613,0.000726359896362,0.3245,203,0.0325,0,32.4467,0.3208,203,0.033,0,32.0786,0.3364,203,0.0363,0,33.6387,0.4434,203,0.0421,0,44.3397,0,203,,,,0.6028,203,0.0475,0,60.2766,0,203,,,,0,203,,,,0.7079,203,0.0357,0,70.7895,0.7111,203,0.0445,0,71.1061,0.6785,203,0.0256,0,67.847,0.6022,203,0.0336,0,60.2197,0.3272,203,0.0287,0,32.7207,0.2319,203,0.0273,0,23.1893,0.3193,203,0.045,0,31.9298,0.527,203,0.0369,0,52.6989,0.429,93,0.0397,110,42.9031,0.7537,203,0.0254,0,75.3733,0.6503,203,0.0403,0,65.0318,0.7253,202,0.028,1,72.5265,0.5844,202,0.1026,1,58.4408,0.7755,203,0.0278,0,77.5517,0.5974,203,0.0412,0,59.7407,0.4159,203,0.0383,0,41.5902,0.3008,203,0.0381,0,30.0773,0.2198,203,0.0227,0,21.9781,0.2564,203,0.0174,0,25.6414,0.3912,106,0.0193,97,39.123,0.6995,203,0.0329,0,69.951,0.6668,203,0.0502,0,66.6807,0.7241,203,0.037,0,72.4086,0.6312,203,0.0383,0,63.1249,0.4568,109,0.0336,94,45.6806,0.6003,203,0.0895,0,60.0333,0.561,203,0.0723,0,56.0965,0.4273,203,0.0306,0,42.7258,0.2905,203,0.0282,0,29.0487,0.1945,203,0.0203,0,19.4509,0.2826,203,0.0204,0,28.2583
2,1438,146,0.475725680589676,0.001316017936915,0.3968,146,0.0295,0,39.6819,0.3582,146,0.046,0,35.8239,0.374,146,0.0591,0,37.4008,0.5036,146,0.0453,0,50.3558,0,146,,,,0.6713,146,0.0358,0,67.1311,0,146,,,,0,146,,,,0.7238,146,0.0222,0,72.3771,0.6479,146,0.0456,0,64.789,0.7202,146,0.0302,0,72.017,0.6774,146,0.0362,0,67.7379,0.4031,146,0.03,0,40.3122,0.2894,146,0.0275,0,28.9355,0.4205,146,0.0551,0,42.0458,0.5598,146,0.031,0,55.9847,0.3995,79,0.0375,67,39.9549,0.7655,146,0.0198,0,76.548,0.6519,146,0.0839,0,65.1856,0.6926,122,0.051,24,69.2592,0.5936,145,0.1317,1,59.3623,0.7816,146,0.024,0,78.1623,0.6555,146,0.0329,0,65.5476,0.5024,146,0.0476,0,50.2415,0.3896,146,0.0442,0,38.957,0.2657,146,0.0289,0,26.5683,0.2995,146,0.0266,0,29.9529,0.433,77,0.0254,69,43.3038,0.6904,146,0.0292,0,69.0359,0.7303,146,0.0375,0,73.0263,0.6544,146,0.0769,0,65.4381,0.6372,146,0.0494,0,63.7159,,0,,146,,0.6786,146,0.1003,0,67.8591,0.6491,146,0.0318,0,64.9138,0.4953,146,0.0332,0,49.5319,0.3594,146,0.0345,0,35.9432,0.2492,146,0.0318,0,24.919,0.3211,146,0.0268,0,32.1105
3,725,253,0.266990721225739,0.000926131266169,0.2304,253,0.0247,0,23.0429,0.223,253,0.0312,0,22.2983,0.2427,253,0.0336,0,24.2744,0.2732,253,0.036,0,27.3196,0,253,,,,0.6324,253,0.073,0,63.2418,0,253,,,,0,253,,,,0.4241,253,0.046,0,42.4071,0.5804,253,0.0593,0,58.0417,0.548,253,0.0403,0,54.7989,0.461,253,0.0393,0,46.0969,0.2391,253,0.0204,0,23.9083,0.1825,253,0.016,0,18.2521,0.219,253,0.036,0,21.9003,0.3715,253,0.0365,0,37.151,0.3083,53,0.0399,200,30.8348,0.6819,253,0.0379,0,68.194,0.5692,253,0.0723,0,56.9218,0.3628,88,0.0364,165,36.2758,0.5505,154,0.0975,99,55.0537,0.6644,253,0.0529,0,66.4433,0.4528,253,0.0441,0,45.2806,0.2583,253,0.047,0,25.8326,0.219,253,0.0356,0,21.8961,0.1696,253,0.0209,0,16.9567,0.2323,253,0.0232,0,23.2277,0.3057,253,0.0293,0,30.5686,0.6074,253,0.0611,0,60.741,0.577,253,0.076,0,57.6997,0.5913,246,0.1083,7,59.1255,0.54,253,0.053,0,54.0049,0.4394,136,0.0296,117,43.9434,0.557,253,0.0423,0,55.7045,0.4219,253,0.0622,0,42.1883,0.2627,253,0.0463,0,26.2677,0.2104,253,0.0282,0,21.0425,0.1503,253,0.0218,0,15.0283,0.2435,253,0.0208,0,24.3496
4,336,313,0.34716135263443,0.000723276403733,0.2887,313,0.0323,0,28.8657,0.2837,313,0.0313,0,28.3724,0.3011,313,0.0361,0,30.1142,0.3593,313,0.0377,0,35.9339,0,313,,,,0.5446,307,0.0873,6,54.4553,0,313,,,,0,313,,,,0.5587,313,0.08,0,55.871,0.6618,313,0.0487,0,66.1786,0.6298,313,0.0332,0,62.9783,0.5465,313,0.0337,0,54.6475,0.304,313,0.0298,0,30.3953,0.2206,313,0.0216,0,22.0644,0.2841,313,0.036,0,28.4124,0.4616,313,0.0364,0,46.1586,0.3518,175,0.0363,138,35.1832,0.7179,313,0.0359,0,71.7934,0.6429,313,0.0322,0,64.2922,0.5804,217,0.1113,96,58.0404,0.5735,260,0.1381,53,57.3463,0.736,313,0.042,0,73.5987,0.5287,313,0.0454,0,52.8684,0.3545,313,0.0404,0,35.4453,0.2778,313,0.0335,0,27.7788,0.2019,313,0.0208,0,20.1901,0.2576,313,0.0257,0,25.7633,0.3655,303,0.0232,10,36.5496,0.6736,313,0.0387,0,67.3637,0.6631,313,0.038,0,66.308,0.6796,300,0.086,13,67.9553,0.6156,313,0.0471,0,61.5586,0.4322,42,0.0137,271,43.2233,0.615,313,0.056,0,61.5026,0.4985,313,0.0716,0,49.8452,0.3742,313,0.0445,0,37.4197,0.2602,313,0.0243,0,26.0153,0.1798,313,0.016,0,17.9818,0.265,313,0.0176,0,26.4951
5,1858,272,0.296376079320908,0.001529820263386,0.2699,272,0.0305,0,26.9902,0.2381,272,0.0399,0,23.8124,0.262,272,0.0492,0,26.2026,0.289,272,0.059,0,28.9013,0,272,,,,0.6643,272,0.0698,0,66.4283,0,272,,,,0,272,,,,0.3722,194,0.051,78,37.2248,0.5735,272,0.0616,0,57.3522,0.5775,272,0.0494,0,57.7521,0.4841,272,0.0401,0,48.4128,0.262,272,0.025,0,26.2044,0.1888,272,0.0242,0,18.8804,0.2428,272,0.055,0,24.2791,0.4033,272,0.0556,0,40.3304,0.3313,197,0.069,75,33.1271,0.6635,272,0.0666,0,66.3504,0.4927,272,0.0806,0,49.2744,0.3843,28,0.0462,244,38.4322,0.4692,65,0.1275,207,46.9194,0.6567,272,0.0538,0,65.6682,0.4669,272,0.0496,0,46.6906,0.2843,272,0.0504,0,28.4254,0.2366,272,0.0472,0,23.6622,0.1808,272,0.0269,0,18.0844,0.2344,272,0.0284,0,23.4412,0.3119,272,0.0372,0,31.1883,0.612,272,0.0447,0,61.2035,0.555,272,0.0586,0,55.5022,0.5863,272,0.0647,0,58.6315,0.5185,272,0.0596,0,51.8491,0.4733,218,0.0381,54,47.3346,0.5735,272,0.0594,0,57.3462,0.4615,272,0.0562,0,46.1549,0.3073,272,0.0561,0,30.7337,0.2258,272,0.0335,0,22.578,0.1575,272,0.0282,0,15.7475,0.2414,272,0.0289,0,24.1412
6,3319,213,0.414361655712128,0.001135682105087,0.3536,213,0.0336,0,35.3614,0.3277,213,0.0659,0,32.7655,0.3446,213,0.0684,0,34.4633,0.4326,213,0.0499,0,43.2572,0,213,,,,0.5443,210,0.0975,3,54.4274,0,213,,,,0,213,,,,0.6464,213,0.0748,0,64.6365,0.6584,213,0.0751,0,65.8362,0.685,213,0.0349,0,68.5023,0.6207,213,0.036,0,62.0715,0.3617,213,0.0299,0,36.1722,0.266,213,0.0268,0,26.6045,0.3626,213,0.0589,0,36.262,0.5222,213,0.0373,0,52.2236,0.3919,206,0.0468,7,39.1873,0.7441,213,0.028,0,74.4062,0.6585,213,0.022,0,65.8504,0.501,110,0.1086,103,50.0973,0.4835,128,0.1515,85,48.3469,0.7495,213,0.0376,0,74.9498,0.6176,213,0.044,0,61.7551,0.4319,213,0.0489,0,43.1872,0.3297,213,0.0468,0,32.9681,0.2356,213,0.0299,0,23.556,0.2791,213,0.0299,0,27.9073,0.3996,210,0.0263,3,39.9605,0.7046,213,0.0257,0,70.4642,0.7236,213,0.0362,0,72.3649,0.6439,181,0.092,32,64.3865,0.6384,213,0.0835,0,63.8412,0.4267,6,0.0298,207,42.6692,0.6617,213,0.0741,0,66.1677,0.6116,213,0.0502,0,61.1638,0.4695,213,0.0389,0,46.9546,0.3147,213,0.037,0,31.4651,0.2165,213,0.0271,0,21.6546,0.2949,213,0.0267,0,29.4863
7,5400,150,0.343790620565414,0.000700188975316,0.2982,150,0.0251,0,29.8243,0.3019,150,0.038,0,30.1898,0.3251,150,0.0462,0,32.5097,0.3583,150,0.0661,0,35.8323,0,150,,,,0.4856,149,0.095,1,48.5615,0,150,,,,0,150,,,,0.6028,150,0.0824,0,60.2838,0.663,150,0.0464,0,66.2964,0.6313,150,0.0453,0,63.1332,0.5372,150,0.0473,0,53.7162,0.3011,150,0.0253,0,30.1114,0.2217,150,0.02,0,22.167,0.2838,150,0.0434,0,28.379,0.4646,150,0.0466,0,46.4591,0.4067,150,0.065,0,40.6658,0.7034,150,0.0698,0,70.3361,0.6433,150,0.0362,0,64.3266,0.3914,97,0.0453,53,39.1376,,0,,150,,0.7393,150,0.0251,0,73.9309,0.5706,150,0.0527,0,57.057,0.37,150,0.0394,0,37.0007,0.282,150,0.0383,0,28.1987,0.2095,150,0.0223,0,20.9461,0.2727,150,0.018,0,27.2689,0.3573,150,0.0316,0,35.7254,0.6355,150,0.0524,0,63.5531,0.6431,150,0.0816,0,64.3071,0.4402,30,0.1958,120,44.0207,0.5766,134,0.0765,16,57.6624,0.4426,47,0.0225,103,44.2594,0.5876,150,0.0343,0,58.7576,0.5443,150,0.0624,0,54.4251,0.4077,150,0.0399,0,40.7705,0.2617,150,0.0309,0,26.168,0.1805,150,0.0223,0,18.0468,0.2614,150,0.0225,0,26.1409
8,4973,150,0.325396716594696,0.000500205380376,0.2472,150,0.0365,0,24.7213,0.2785,150,0.0335,0,27.8538,0.2758,150,0.0432,0,27.5765,0.4516,150,0.0527,0,45.1584,0,150,,,,0.7059,150,0.0767,0,70.5873,0,150,,,,45,105,0.3877,0.0745,38.7655,0.6657,150,0.0619,0,66.5746,0.5955,108,0.0631,42,59.5472,0.6737,150,0.0364,0,67.3749,0.5502,150,0.0445,0,55.015,0.2806,150,0.0155,0,28.0584,0.1991,150,0.0133,0,19.9052,0.2614,150,0.0331,0,26.138,0.4592,150,0.0756,0,45.9199,0.3869,150,0.0577,0,38.6904,0.7111,150,0.0677,0,71.1129,0.5624,150,0.089,0,56.2382,0.3904,75,0.0547,75,39.0437,0.5978,144,0.0855,6,59.7828,0.667,150,0.0879,0,66.6971,0.5447,150,0.0615,0,54.4664,0.3314,150,0.0374,0,33.136,0.2469,150,0.0318,0,24.693,0.1556,150,0.0127,0,15.5615,0.2105,150,0.0211,0,21.05,0.3234,135,0.038,15,32.3445,0.5607,150,0.0818,0,56.0737,0.6086,150,0.0837,0,60.8616,,0,,150,,0.6442,150,0.106,0,64.4248,,0,,150,,0.5693,150,0.098,0,56.9299,0.5177,150,0.049,0,51.7653,0.3594,150,0.0403,0,35.9439,0.2417,150,0.0237,0,24.1732,0.16,150,0.0176,0,16.0023,0.2393,150,0.023,0,23.9342
9,3668,270,0.283464103937149,0.000546855968423,0.2269,270,0.0282,0,22.6946,0.2481,270,0.0302,0,24.8053,0.231,270,0.03,0,23.1048,0.378,270,0.0397,0,37.7952,0,270,,,,0.6321,270,0.068,0,63.2095,0,270,,,,50,220,0.4576,0.0484,45.757,0.6974,270,0.0452,0,69.738,0.5562,267,0.0818,3,55.6158,0.6562,270,0.0411,0,65.6179,0.5219,270,0.041,0,52.1892,0.2626,270,0.0173,0,26.2576,0.1859,270,0.0141,0,18.5904,0.2429,270,0.0313,0,24.286,0.4402,270,0.0529,0,44.0243,0.3424,263,0.0489,7,34.2447,0.5739,270,0.1433,0,57.3879,0.4912,270,0.1169,0,49.1186,0.3571,122,0.0468,148,35.7066,0.545,260,0.096,10,54.4968,0.6533,270,0.0754,0,65.3305,0.4685,270,0.0526,0,46.8514,0.2729,270,0.0375,0,27.2932,0.2266,270,0.0281,0,22.6566,0.1595,270,0.0129,0,15.9537,0.2026,270,0.0254,0,20.2635,0.2431,125,0.046,145,24.3065,0.4585,270,0.1103,0,45.8493,0.397,270,0.0965,0,39.7022,0.3564,183,0.1045,87,35.6447,0.5827,270,0.1253,0,58.2743,0.4053,28,0.0293,242,40.5272,0.6143,270,0.0928,0,61.4293,0.4273,270,0.0491,0,42.7313,0.3279,270,0.0329,0,32.7854,0.2232,270,0.0199,0,22.3224,0.1473,270,0.0156,0,14.7282,0.2148,270,0.0236,0,21.4819
10,4778,158,0.272913962602615,0.000890312658157,0.2395,158,0.0247,0,23.954,0.2464,158,0.0336,0,24.6365,0.2243,158,0.0227,0,22.4305,0.3351,158,0.0497,0,33.5101,0,158,,,,0.6534,158,0.0819,0,65.3422,0,158,,,,85,73,0.3247,0.0617,32.4678,0.674,158,0.0546,0,67.3999,0.5501,146,0.0521,12,55.0072,0.6352,158,0.0393,0,63.5205,0.4813,158,0.044,0,48.1262,0.2516,158,0.0282,0,25.159,0.1859,158,0.0187,0,18.5853,0.2225,158,0.0405,0,22.2464,0.3708,158,0.0442,0,37.0801,0.2943,158,0.04,0,29.4316,0.5751,158,0.0594,0,57.5136,0.3477,152,0.0838,6,34.7659,0.3361,106,0.0603,52,33.607,0.4544,105,0.0764,53,45.4445,0.6472,158,0.0756,0,64.7209,0.4714,158,0.054,0,47.1367,0.266,158,0.0414,0,26.6003,0.2282,158,0.0404,0,22.8226,0.1432,158,0.0147,0,14.3214,0.1818,158,0.0208,0,18.1821,0.282,153,0.0276,5,28.2025,0.5724,158,0.0388,0,57.2358,0.5021,158,0.0578,0,50.2092,0.2434,1,0.0,157,24.3443,0.4323,158,0.0771,0,43.2303,0.2647,4,0.005,154,26.4701,0.4768,158,0.0723,0,47.6838,0.4114,158,0.0604,0,41.1444,0.288,158,0.0406,0,28.8045,0.2208,158,0.0275,0,22.0831,0.1484,158,0.0213,0,14.842,0.2225,158,0.022,0,22.2468
11,3683,280,0.33478057384491,0.001002615899779,0.2956,280,0.026,0,29.5618,0.2669,280,0.0404,0,26.6859,0.2708,280,0.0468,0,27.0847,0.4068,280,0.0809,0,40.6823,0,280,,,,0.5886,280,0.081,0,58.8627,0,280,,,,51,229,0.5468,0.1084,54.6774,0.6695,280,0.0504,0,66.9499,0.606,263,0.0785,17,60.5959,0.6748,280,0.0443,0,67.4794,0.5735,280,0.0429,0,57.3473,0.299,280,0.0269,0,29.8953,0.2142,280,0.019,0,21.419,0.276,280,0.0421,0,27.6049,0.5088,280,0.0724,0,50.8849,0.3966,269,0.0616,11,39.6552,0.7445,280,0.0498,0,74.4484,0.6441,280,0.046,0,64.4092,0.5373,30,0.1023,250,53.7261,0.5854,113,0.0877,167,58.5437,0.7322,280,0.0449,0,73.2205,0.5826,280,0.0586,0,58.2633,0.3495,280,0.0471,0,34.9545,0.2457,280,0.047,0,24.572,0.1791,280,0.0279,0,17.9149,0.239,280,0.0308,0,23.8997,0.3762,262,0.0493,18,37.6204,0.6698,280,0.0665,0,66.9815,0.7052,280,0.0716,0,70.5227,0.5284,239,0.1164,41,52.8397,0.676,280,0.0392,0,67.6027,0.4203,17,0.0934,263,42.0279,0.6793,280,0.0739,0,67.9267,0.5776,280,0.0754,0,57.7596,0.4238,280,0.0489,0,42.3806,0.2584,280,0.0308,0,25.8425,0.178,280,0.0223,0,17.8018,0.2726,280,0.0254,0,27.2561
12,5062,172,0.243928015232086,0.000810695695691,0.2513,172,0.0365,0,25.1254,0.2034,172,0.0237,0,20.3372,0.2223,172,0.0282,0,22.2317,0.2484,172,0.0292,0,24.8403,0,172,,,,0.6482,172,0.0667,0,64.8213,0,172,,,,0,172,,,,0.3837,51,0.0675,121,38.3686,0.5809,172,0.0612,0,58.0912,0.5576,172,0.0342,0,55.7597,0.4505,172,0.0355,0,45.0486,0.2364,172,0.0233,0,23.6447,0.176,172,0.0204,0,17.5961,0.2105,172,0.0404,0,21.0501,0.3938,172,0.0354,0,39.3812,0.2807,167,0.0431,5,28.0737,0.3843,172,0.1452,0,38.432,0.3032,171,0.0426,1,30.3164,0.4035,141,0.1041,31,40.3501,,0,,172,,0.4922,172,0.0879,0,49.2157,0.3644,172,0.0807,0,36.4385,0.2289,172,0.0468,0,22.8934,0.1881,172,0.0344,0,18.8137,0.1539,172,0.0264,0,15.3937,0.1915,172,0.031,0,19.1482,0.2644,172,0.0287,0,26.4439,0.4638,172,0.1672,0,46.3804,0.4169,172,0.1575,0,41.686,0.4565,172,0.1584,0,45.6489,0.4148,172,0.1069,0,41.4804,0.48,171,0.0616,1,48.0012,0.5077,139,0.0829,33,50.7688,0.4244,172,0.0641,0,42.4433,0.2745,172,0.0627,0,27.4466,0.2012,172,0.0296,0,20.1193,0.1355,172,0.0251,0,13.5509,0.1931,172,0.037,0,19.3079
13,7418,181,0.290531784296036,0.000361140555469,0.2703,181,0.0191,0,27.0325,0.2693,181,0.0311,0,26.9264,0.2928,181,0.041,0,29.2803,0.4439,181,0.0508,0,44.3894,0,181,,,,0.5792,181,0.057,0,57.9234,0,181,,,,122,59,0.4114,0.0629,41.1355,0.6217,181,0.0701,0,62.1699,0.4806,22,0.0744,159,48.0594,0.617,181,0.038,0,61.6969,0.4933,181,0.0346,0,49.3323,0.2662,181,0.0168,0,26.6182,0.1903,181,0.0128,0,19.033,0.2374,181,0.027,0,23.7429,0.3777,181,0.0701,0,37.7711,0.3214,181,0.0362,0,32.1394,0.6421,181,0.0889,0,64.2106,0.3798,177,0.0759,4,37.984,0.309,7,0.0141,174,30.8961,0.4325,161,0.0879,20,43.2536,0.6702,181,0.0786,0,67.015,0.4891,181,0.0395,0,48.9124,0.2819,181,0.0311,0,28.1888,0.2341,181,0.0244,0,23.4131,0.1422,181,0.0119,0,14.215,0.2016,181,0.0193,0,20.1628,0.2804,181,0.0308,0,28.0392,0.5511,181,0.0592,0,55.1114,0.4399,181,0.1174,0,43.9908,0.2649,47,0.045,134,26.4923,0.5207,181,0.0862,0,52.0696,,0,,181,,0.5944,181,0.0852,0,59.436,0.4525,181,0.0435,0,45.2497,0.3157,181,0.0393,0,31.5703,0.2181,181,0.0257,0,21.8106,0.1465,181,0.0201,0,14.6518,0.2107,181,0.0302,0,21.0673
14,2980,346,0.245385780930519,0.000313374621328,0.2301,346,0.0265,0,23.0055,0.2029,346,0.0227,0,20.2925,0.218,346,0.0267,0,21.8009,0.2489,346,0.0295,0,24.8876,0,346,,,,0.6614,346,0.0721,0,66.1387,0,346,,,,0,346,,,,0.3876,324,0.0431,22,38.7556,0.562,346,0.0662,0,56.2024,0.5426,346,0.0365,0,54.2617,0.4609,346,0.0335,0,46.0872,0.2312,346,0.0175,0,23.1227,0.1721,346,0.0123,0,17.2095,0.1995,346,0.0265,0,19.9536,0.3629,346,0.0337,0,36.2899,0.2773,281,0.0433,65,27.7298,0.4869,346,0.1611,0,48.6904,0.3793,344,0.084,2,37.9307,0.381,240,0.091,106,38.102,0.4821,15,0.0787,331,48.206,0.5546,346,0.0881,0,55.4569,0.4202,346,0.0609,0,42.0166,0.2448,346,0.0385,0,24.4843,0.1979,346,0.0252,0,19.7934,0.1484,346,0.0155,0,14.8442,0.2001,346,0.0213,0,20.0128,0.2794,346,0.0208,0,27.9371,0.4793,346,0.1509,0,47.9307,0.4197,346,0.1255,0,41.9691,0.442,296,0.1395,50,44.2033,0.3848,332,0.0995,14,38.4783,0.435,341,0.0486,5,43.4962,0.5073,341,0.0795,5,50.7348,0.4716,346,0.093,0,47.1552,0.269,346,0.0462,0,26.9006,0.2007,346,0.0195,0,20.0712,0.1351,346,0.0122,0,13.5135,0.1981,346,0.024,0,19.8077
